name,categories,url,photo
A mountain with a cloud in the sky photo – Bali Image on Unsplash,"['bali', 'mountain clouds', 'Mountain images & pictures', 'indonesia', 'foggy', 'misty', 'Cloud pictures & images', 'Volcano pictures & images', 'Hd wallpapers', 'Hq background images', 'wallpapera', 'afternoon sky', 'Public domain images', 'mountain cloud', 'Cloud pictures & images', 'Hd scenery wallpapers', 'bali', 'outdoor', 'indonesia', 'Hd wallpapers', 'Hq background images', 'outdoor']",https://unsplash.com/photos/a-mountain-with-a-cloud-in-the-sky-2c1OQd4Tiy0,https://plus.unsplash.com/premium_photo-1667224451091-85d65e9050f7?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Cascading waterfalls photo – Free Bali Image on Unsplash,"['bali', 'indonesia', 'Nature images', 'sekumpul waterfall', 'Hd water wallpapers', 'Hd waterfall wallpapers', 'Hd grey wallpapers', 'Jungle backgrounds', 'sekumpul', 'Hd green wallpapers', 'Travel images', 'river', 'outdoors', 'Hd scenery wallpapers', 'Landscape images & pictures', 'panoramic', 'painting', 'Hd art wallpapers', 'Creative Commons images', 'brightening', 'sfondo', 'albero', 'marla', 'Hq background images', 'Hd wallpapers', 'blog', 'human', 'Travel images']",https://unsplash.com/photos/cascading-waterfalls-wPBbPkZZu8E,https://images.unsplash.com/photo-1554931670-4ebfabf6e7a9?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Brown and black temple near body of water during daytime photo – Free Bali Image on Unsplash,"['bali', 'indonesia', 'Hd wallpapers', 'Hq background images', 'wallpaper for mobile', 'Nature backgrounds', 'nature images', 'Hd wallpapers', 'lake', 'Hd grey wallpapers', 'architecture', 'building', 'temple', 'pagoda', 'shrine', 'worship', 'Public domain images', 'Landscape images & pictures', 'outdoor', 'Hd wallpapers', 'Hd nice wallpapers', 'building', 'urban', 'bali', 'outdoor', 'indonesia']",https://unsplash.com/photos/brown-and-black-temple-near-body-of-water-during-daytime-uwIRTJuTfkc,https://images.unsplash.com/photo-1620104493388-8747c90fcc2d?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Ocean photography photo – Free Bali Image on Unsplash,"['bali', 'klingking beach', 'indonesia', 'Nature images', 'Beach images & pictures', 'sumer', 'Travel images', 'outdoors', 'land', 'shoreline', 'Hd water wallpapers', 'sea', 'Hd ocean wallpapers', 'Hd scenery wallpapers', 'Landscape images & pictures', 'coast', 'aerial view', 'promontory', 'lagoon', 'lake', 'Public domain images', 'ds001', 'outdoor', 'Hd wallpapers', 'islands', 'outdoor', 'human', 'Beach images & pictures', 'outdoor', 'sea']",https://unsplash.com/photos/ocean-photography-5MV818tzxeo,https://images.unsplash.com/photo-1559305289-4c31700ba9cb?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
The sun is setting over the ocean with waves coming in photo – Aesthetic wallpaper Image on Unsplash,"['Hd aesthetic wallpapers', 'sundown', 'bali', 'waves in the ocean', 'Sunset images & pictures', 'Nature images', 'Hd wave wallpapers', 'minimal wallpaper', 'dark mode wallpaper', 'gaming wallpaper', 'Hd whatsapp wallpapers', 'minimalist iphone', 'Hd iphone wallpapers', 'linkedin banner', 'windows 11 wallpaper', 'Hd minimalist wallpapers', 'Best backgrounds', 'Hd 8k wallpapers', 'editing background', '2k wallpaper', 'HD Wallpapers', 'tropical beach', 'Summer images & pictures', 'Hd abstract wallpapers', 'Hd backgrounds', 'Hd wallpapers', 'Hq background images', 'landscaping', 'sea', 'outdoor']",https://unsplash.com/photos/the-sun-is-setting-over-the-ocean-with-waves-coming-in-hi-Mx_2Wprw,https://plus.unsplash.com/premium_photo-1664124888904-435121e89c74?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
White parasol and lounge near seashores photo – Free Bali Image on Unsplash,"['bali', 'canggu', 'indonesia', 'Beach images & pictures', 'the lawn in canggu', 'Travel images', 'the lawn', 'indonesian', 'lawn chairs', 'Sunset images & pictures', 'batu bolong', 'Hd water wallpapers', 'sea', 'Hd ocean wallpapers', 'outdoors', 'Nature images', 'shoreline', 'coast', 'waterfront', 'dock', 'Free pictures', 'story', 'Women images & pictures', 'human', 'Beach images & pictures', 'Animals images & pictures', 'sea', 'bali', 'outdoor', 'indonesia']",https://unsplash.com/photos/white-parasol-and-lounge-near-seashores-Lqno1bhxoiE,https://images.unsplash.com/photo-1546484475-7f7bd55792da?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
"Pura Ulun Danu Bratan, Indonesia photo – Free Bali Image on Unsplash","['bali', 'indonesia', 'temple', 'Flower images', 'Hd holiday wallpapers', 'trip', 'lake', 'adventure', 'Religion images', 'island', 'architecture', 'building', 'worship', 'shrine', 'Flower images', 'blossom', 'plant', 'Hd blue wallpapers', 'pagoda', 'human', 'Free images', '建物', '建築', '寺', 'indonesia', 'outdoor', 'Travel images', 'indonesia', 'outdoor', 'bali']",https://unsplash.com/photos/pura-ulun-danu-bratan-indonesia-U_i6h9Y50wQ,https://images.unsplash.com/photo-1544644181-1484b3fdfc62?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Aerial photography of cliff near shore photo – Free Bali Image on Unsplash,"['bali', 'indonesia', 'Beach images & pictures', 'Dinosaur images & pictures', 'bali 80771', 'nusapenida', 'kabupaten klungkung', 'bunga mekar', 'klingking beach', 'bay', 'sea', 'island', 'coast', 'Hd ocean wallpapers', 'Hd water wallpapers', 'cliff', 'sand', 'rock', 'Landscape images & pictures', 'headland', 'Backgrounds', 'outdoor', 'Hd blue wallpapers', 'united state', 'bali', 'indonesia', 'outdoor', 'bali', 'outdoor', 'Flower images']",https://unsplash.com/photos/aerial-photography-of-cliff-near-shore-Bi_5VsaOLnI,https://images.unsplash.com/photo-1539367628448-4bc5c9d171c8?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
An island in the middle of the ocean photo – Bali Image on Unsplash,"['bali', 'nusa penida', 'indonesia', 'klungkung regency', 'Hd water wallpapers', 'Jungle backgrounds', 'Hd tropical wallpapers', 'Hd wave wallpapers', 'adventure', 'Travel images', 'Landscape images & pictures', 'rocks', 'Hd ocean wallpapers', 'Backgrounds', 'Travel images', 'outdoor', 'Hd wallpapers', 'bali', 'indonesia', 'outdoor', 'Natur', 'reise', 'abenteuer']",https://unsplash.com/photos/an-island-in-the-middle-of-the-ocean-JRVnA8oMPLI,https://plus.unsplash.com/premium_photo-1668883188861-39974ed9ad99?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Woman riding swing photo – Free Bali Image on Unsplash,"['bali', 'indonesia', 'bali swing', 'Travel images', 'vegetation', 'plant', 'Nature images', 'land', 'outdoors', 'Tree images & pictures', 'Jungle backgrounds', 'rainforest', 'adventure', 'leisure activities', 'People images & pictures', 'human', 'Hd forest wallpapers', 'woodland', 'rope', 'bungee', 'Backgrounds', 'traveling', 'outdoor', 'sea', 'web', 'plant', 'Food images & pictures', 'bali', 'indonesia', 'outdoor']",https://unsplash.com/photos/woman-riding-swing-IibRZfGCM10,https://images.unsplash.com/photo-1554481923-a6918bd997bc?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
